# RQ1 experiment - D-series
Dataset includes: D=0-10 F=3 K=3
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,D,0,3,3,1,1,1,265,7,0,ok
REST,D,0,3,3,2,1,1,265,7,0,ok
GraphQL,D,0,3,3,1,1,1,108,0,0,ok
GraphQL,D,0,3,3,2,1,1,108,0,0,ok
gRPC,D,0,3,3,1,1,1,191,7,0,ok
gRPC,D,0,3,3,2,1,1,191,7,0,ok
REST,D,1,3,3,1,2,2,1064,28,1,ok
REST,D,1,3,3,2,2,2,1064,28,1,ok
GraphQL,D,1,3,3,1,1,2,394,0,0,ok
GraphQL,D,1,3,3,2,1,2,394,0,0,ok
gRPC,D,1,3,3,1,1,2,764,28,0,ok
gRPC,D,1,3,3,2,1,2,764,28,0,ok
REST,D,2,3,3,1,5,5,3461,91,4,ok
REST,D,2,3,3,2,5,5,3461,91,4,ok
GraphQL,D,2,3,3,1,1,5,1252,0,0,ok
GraphQL,D,2,3,3,2,1,5,1252,0,0,ok
gRPC,D,2,3,3,1,1,5,2483,91,0,ok
gRPC,D,2,3,3,2,1,5,2483,91,0,ok
REST,D,3,3,3,1,14,14,10652,280,13,ok
REST,D,3,3,3,2,14,14,10652,280,13,ok
GraphQL,D,3,3,3,1,1,14,3826,0,0,ok
GraphQL,D,3,3,3,2,1,14,3826,0,0,ok
gRPC,D,3,3,3,1,1,14,7640,280,0,ok
gRPC,D,3,3,3,2,1,14,7640,280,0,ok
REST,D,4,3,3,1,41,41,32225,847,40,ok
REST,D,4,3,3,2,41,41,32225,847,40,ok
GraphQL,D,4,3,3,1,1,41,11548,0,0,ok
GraphQL,D,4,3,3,2,1,41,11548,0,0,ok
gRPC,D,4,3,3,1,1,41,23112,847,0,ok
gRPC,D,4,3,3,2,1,41,23112,847,0,ok
REST,D,5,3,3,1,122,122,96944,2548,121,ok
REST,D,5,3,3,2,122,122,96944,2548,121,ok
GraphQL,D,5,3,3,1,1,122,34714,0,0,ok
GraphQL,D,5,3,3,2,1,122,34714,0,0,ok
gRPC,D,5,3,3,1,1,122,69528,2548,0,ok
gRPC,D,5,3,3,2,1,122,69528,2548,0,ok
REST,D,6,3,3,1,365,365,291101,7651,364,ok
REST,D,6,3,3,2,365,365,291101,7651,364,ok
GraphQL,D,6,3,3,1,1,365,104212,0,0,ok
GraphQL,D,6,3,3,2,1,365,104212,0,0,ok
gRPC,D,6,3,3,1,1,365,208776,7651,0,ok
gRPC,D,6,3,3,2,1,365,208776,7651,0,ok
REST,D,7,3,3,1,1094,1094,873572,22960,1093,ok
REST,D,7,3,3,2,1094,1094,873572,22960,1093,ok
GraphQL,D,7,3,3,1,1,1094,312706,0,0,ok
GraphQL,D,7,3,3,2,1,1094,312706,0,0,ok
gRPC,D,7,3,3,1,1,1094,626520,22960,0,ok
gRPC,D,7,3,3,2,1,1094,626520,22960,0,ok
REST,D,8,3,3,1,3281,3281,2620985,68887,3280,ok
REST,D,8,3,3,2,3281,3281,2620985,68887,3280,ok
GraphQL,D,8,3,3,1,1,3281,938188,0,0,ok
GraphQL,D,8,3,3,2,1,3281,938188,0,0,ok
gRPC,D,8,3,3,1,1,3281,1879752,68887,0,ok
gRPC,D,8,3,3,2,1,3281,1879752,68887,0,ok
REST,D,9,3,3,1,9842,9842,7863224,206668,9841,ok
REST,D,9,3,3,2,9842,9842,7863224,206668,9841,ok
GraphQL,D,9,3,3,1,1,9842,2814634,0,0,ok
GraphQL,D,9,3,3,2,1,9842,2814634,0,0,ok
gRPC,D,9,3,3,1,1,9842,5639449,206668,0,ok
gRPC,D,9,3,3,2,1,9842,5639449,206668,0,ok
REST,D,10,3,3,1,29525,29525,23589941,620011,29524,ok
REST,D,10,3,3,2,29525,29525,23589941,620011,29524,ok
GraphQL,D,10,3,3,1,1,29525,8443972,0,0,ok
GraphQL,D,10,3,3,2,1,29525,8443972,0,0,ok
gRPC,D,10,3,3,1,1,29525,16918540,620011,0,ok
gRPC,D,10,3,3,2,1,29525,16918540,620011,0,ok
