# RQ1 experiment - K-series
# dataset includes: D=3 F=5 K=2-5
paradigm,series,D-Target,F-Target,K-Target,run,dp1_request_count,dp2_orchestration_ops,dp3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,K,3,5,2,1,32,31,10326,936,31,ok
GraphQL,K,3,5,2,1,1,31,10716,0,0,ok
REST,K,3,5,3,1,32,31,14226,780,31,ok
GraphQL,K,3,5,3,1,1,31,14616,0,0,ok
REST,K,3,5,4,1,32,31,18126,624,31,ok
GraphQL,K,3,5,4,1,1,31,18516,0,0,ok
REST,K,3,5,5,1,32,31,22026,468,31,ok
GraphQL,K,3,5,5,1,1,31,22416,0,0,ok
